Баланс USD;Баланс руб;Баланс тг;Сумма;Доход;Вид счета;Категория;Тип операции;Дата
234;129547;3442;3489;true;$;Рестораны;Покупка;03 марта 2006 г.
15;45255;34526;4564;false;руб;Другое;Выдача наличных;25 марта 2018 г.
323;244376;3241;5000;False;rub;Другое;Выдача наличных;2 июня 2023 г.
323;245376;3241;1000;True;rub;Другое;Внесение наличных;2 июня 2023 г.
323;250376;3241;5000;True;rub;Другое;Внесение наличных;2 июня 2023 г.
323;255376;3241;5000;True;rub;Другое;Внесение наличных;2 июня 2023 г.
323;253376;3241;2000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;248376;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;243376;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;238376;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;376;3241;238000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-124;3241;500;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-624;3241;500;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-5624;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-10624;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-5624;3241;5000;True;rub;Другое;Внесение наличных;3 июня 2023 г.
323;-624;3241;5000;True;rub;Другое;Внесение наличных;3 июня 2023 г.
323;4376;3241;5000;True;rub;Другое;Внесение наличных;3 июня 2023 г.
323;-624;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;4376;3241;5000;True;rub;Другое;Внесение наличных;3 июня 2023 г.
323;4876;3241;500;True;rub;Другое;Внесение наличных;3 июня 2023 г.
323;4376;3241;500;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-624;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
323;-5624;3241;5000;False;rub;Другое;Выдача наличных;3 июня 2023 г.
